description,industry,level,size,line_code,value
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Insurance,2,total,C0302.02,12
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Auxiliary,2,total,C0302.02,105
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,"Rental, hiring, & real estate services",1,total,C0302.02,285
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,"Professional, scientific, & technical services",1,total,C0302.02,1242
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Computer systems design,2,total,C0302.02,354
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Other professional scientific,2,total,C0302.02,891
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Administrative & support services,1,total,C0302.02,294
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Education & training,1,total,C0302.02,120
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Health care & social assistance,1,total,C0302.02,747
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Arts & recreation services,1,total,C0302.02,111
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,Other services,1,total,C0302.02,72
Contractors currently engaged as workers in the business (identified in 2 ) commonly offered paid public holidays - no,total,0,total,C0302.02,6756
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,total,0,6–19 employees,C0501.01,17316
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,total,0,20–49 employees,C0501.01,4830
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,total,0,50–99 employees,C0501.01,1449
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,total,0,100+ employees,C0501.01,1272
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Agriculture, forestry, & fishing",1,total,C0501.01,1755
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Agriculture,2,total,C0501.01,1104
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Commercial fishing,2,total,C0501.01,24
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Forestry & logging,2,total,C0501.01,156
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Agriculture, forestry, & fishing support services",2,total,C0501.01,474
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Mining,1,total,C0501.01,63
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Manufacturing,1,total,C0501.01,3045
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Food, beverage, & tobacco",2,total,C0501.01,651
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Textile, clothing, footwear, & leather",2,total,C0501.01,177
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Wood & paper product,2,total,C0501.01,303
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Printing, publishing, & recorded media",2,total,C0501.01,147
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Petroleum, coal, chemical, & associated product",2,total,C0501.01,279
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Non-metallic mineral product,2,total,C0501.01,111
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Metal product,2,total,C0501.01,543
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Transport and industrial machinery & equipment,2,total,C0501.01,504
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Other machinery & equipment,2,total,C0501.01,114
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Other manufacturing,2,total,C0501.01,219
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Electricity, gas, water, & waste services",1,total,C0501.01,99
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Construction,1,total,C0501.01,3411
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Wholesale trade,1,total,C0501.01,1869
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Machinery & equipment wholesaling,2,total,C0501.01,483
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Other wholesale trade,2,total,C0501.01,1386
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Retail trade,1,total,C0501.01,2226
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Accommodation & food services,1,total,C0501.01,3573
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Transport, postal, & warehousing",1,total,C0501.01,939
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Information media & telecommunications,1,total,C0501.01,219
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Publishing,2,total,C0501.01,69
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Motion picture,2,total,C0501.01,60
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Telecommunications,2,total,C0501.01,87
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Financial & insurance services,1,total,C0501.01,366
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Finance,2,total,C0501.01,120
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Insurance,2,total,C0501.01,24
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Auxiliary,2,total,C0501.01,222
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Rental, hiring, & real estate services",1,total,C0501.01,573
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,"Professional, scientific, & technical services",1,total,C0501.01,2502
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Computer systems design,2,total,C0501.01,510
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Other professional scientific,2,total,C0501.01,1995
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Administrative & support services,1,total,C0501.01,894
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Education & training,1,total,C0501.01,633
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Health care & social assistance,1,total,C0501.01,1731
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Arts & recreation services,1,total,C0501.01,276
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,Other services,1,total,C0501.01,687
Non-managerial employees being able to buy extra annual leave or take leave without pay - yes,total,0,total,C0501.01,24867
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,total,0,6–19 employees,C0501.02,14928
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,total,0,20–49 employees,C0501.02,3024
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,total,0,50–99 employees,C0501.02,843
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,total,0,100+ employees,C0501.02,591
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Agriculture, forestry, & fishing",1,total,C0501.02,1980
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Agriculture,2,total,C0501.02,1389
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Commercial fishing,2,total,C0501.02,30
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Forestry & logging,2,total,C0501.02,102
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Agriculture, forestry, & fishing support services",2,total,C0501.02,459
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Mining,1,total,C0501.02,48
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Manufacturing,1,total,C0501.02,2232
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Food, beverage, & tobacco",2,total,C0501.02,471
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Textile, clothing, footwear, & leather",2,total,C0501.02,108
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Wood & paper product,2,total,C0501.02,213
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Printing, publishing, & recorded media",2,total,C0501.02,102
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Petroleum, coal, chemical, & associated product",2,total,C0501.02,165
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Non-metallic mineral product,2,total,C0501.02,81
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Metal product,2,total,C0501.02,438
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Transport and industrial machinery & equipment,2,total,C0501.02,387
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Other machinery & equipment,2,total,C0501.02,111
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Other manufacturing,2,total,C0501.02,150
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Electricity, gas, water, & waste services",1,total,C0501.02,63
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Construction,1,total,C0501.02,2193
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Wholesale trade,1,total,C0501.02,1362
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Machinery & equipment wholesaling,2,total,C0501.02,489
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Other wholesale trade,2,total,C0501.02,873
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Retail trade,1,total,C0501.02,2532
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Accommodation & food services,1,total,C0501.02,2556
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Transport, postal, & warehousing",1,total,C0501.02,687
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Information media & telecommunications,1,total,C0501.02,171
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Publishing,2,total,C0501.02,60
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Motion picture,2,total,C0501.02,72
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Telecommunications,2,total,C0501.02,36
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Financial & insurance services,1,total,C0501.02,207
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Finance,2,total,C0501.02,66
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Insurance,2,total,C0501.02,9
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Auxiliary,2,total,C0501.02,132
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Rental, hiring, & real estate services",1,total,C0501.02,426
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,"Professional, scientific, & technical services",1,total,C0501.02,2025
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Computer systems design,2,total,C0501.02,312
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Other professional scientific,2,total,C0501.02,1713
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Administrative & support services,1,total,C0501.02,858
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Education & training,1,total,C0501.02,345
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Health care & social assistance,1,total,C0501.02,909
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Arts & recreation services,1,total,C0501.02,192
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,Other services,1,total,C0501.02,594
Non-managerial employees being able to buy extra annual leave or take leave without pay - no,total,0,total,C0501.02,19389
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",total,0,6–19 employees,C0502.01,19878
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",total,0,20–49 employees,C0502.01,5448
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",total,0,50–99 employees,C0502.01,1680
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",total,0,100+ employees,C0502.01,1518
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Agriculture, forestry, & fishing",1,total,C0502.01,1935
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Agriculture,2,total,C0502.01,1278
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Commercial fishing,2,total,C0502.01,30
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Forestry & logging,2,total,C0502.01,168
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Agriculture, forestry, & fishing support services",2,total,C0502.01,459
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Mining,1,total,C0502.01,75
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Manufacturing,1,total,C0502.01,3447
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Food, beverage, & tobacco",2,total,C0502.01,747
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Textile, clothing, footwear, & leather",2,total,C0502.01,195
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Wood & paper product,2,total,C0502.01,360
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Printing, publishing, & recorded media",2,total,C0502.01,162
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Petroleum, coal, chemical, & associated product",2,total,C0502.01,291
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Non-metallic mineral product,2,total,C0502.01,123
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Metal product,2,total,C0502.01,573
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Transport and industrial machinery & equipment,2,total,C0502.01,600
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Other machinery & equipment,2,total,C0502.01,147
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Other manufacturing,2,total,C0502.01,246
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Electricity, gas, water, & waste services",1,total,C0502.01,111
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Construction,1,total,C0502.01,3858
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Wholesale trade,1,total,C0502.01,2106
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Machinery & equipment wholesaling,2,total,C0502.01,672
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Other wholesale trade,2,total,C0502.01,1434
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Retail trade,1,total,C0502.01,2838
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Accommodation & food services,1,total,C0502.01,3579
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Transport, postal, & warehousing",1,total,C0502.01,999
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Information media & telecommunications,1,total,C0502.01,267
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Publishing,2,total,C0502.01,87
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Motion picture,2,total,C0502.01,84
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Telecommunications,2,total,C0502.01,93
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Financial & insurance services,1,total,C0502.01,456
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Finance,2,total,C0502.01,132
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Insurance,2,total,C0502.01,33
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Auxiliary,2,total,C0502.01,291
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Rental, hiring, & real estate services",1,total,C0502.01,726
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes","Professional, scientific, & technical services",1,total,C0502.01,3195
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Computer systems design,2,total,C0502.01,642
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Other professional scientific,2,total,C0502.01,2556
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Administrative & support services,1,total,C0502.01,1089
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Education & training,1,total,C0502.01,717
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Health care & social assistance,1,total,C0502.01,2034
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Arts & recreation services,1,total,C0502.01,285
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",Other services,1,total,C0502.01,810
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - yes",total,0,total,C0502.01,28527
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",total,0,6–19 employees,C0502.02,12366
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",total,0,20–49 employees,C0502.02,2403
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",total,0,50–99 employees,C0502.02,612
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",total,0,100+ employees,C0502.02,345
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Agriculture, forestry, & fishing",1,total,C0502.02,1803
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Agriculture,2,total,C0502.02,1215
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Commercial fishing,2,total,C0502.02,24
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Forestry & logging,2,total,C0502.02,90
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Agriculture, forestry, & fishing support services",2,total,C0502.02,474
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Mining,1,total,C0502.02,36
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Manufacturing,1,total,C0502.02,1830
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Food, beverage, & tobacco",2,total,C0502.02,375
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Textile, clothing, footwear, & leather",2,total,C0502.02,87
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Wood & paper product,2,total,C0502.02,156
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Printing, publishing, & recorded media",2,total,C0502.02,87
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Petroleum, coal, chemical, & associated product",2,total,C0502.02,153
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Non-metallic mineral product,2,total,C0502.02,72
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Metal product,2,total,C0502.02,408
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Transport and industrial machinery & equipment,2,total,C0502.02,291
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Other machinery & equipment,2,total,C0502.02,78
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Other manufacturing,2,total,C0502.02,123
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Electricity, gas, water, & waste services",1,total,C0502.02,54
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Construction,1,total,C0502.02,1746
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Wholesale trade,1,total,C0502.02,1125
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Machinery & equipment wholesaling,2,total,C0502.02,297
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Other wholesale trade,2,total,C0502.02,825
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Retail trade,1,total,C0502.02,1920
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Accommodation & food services,1,total,C0502.02,2550
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Transport, postal, & warehousing",1,total,C0502.02,627
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Information media & telecommunications,1,total,C0502.02,120
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Publishing,2,total,C0502.02,42
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Motion picture,2,total,C0502.02,48
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Telecommunications,2,total,C0502.02,27
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Financial & insurance services,1,total,C0502.02,120
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Finance,2,total,C0502.02,57
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Insurance,2,total,C0502.02,3
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Auxiliary,2,total,C0502.02,63
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Rental, hiring, & real estate services",1,total,C0502.02,276
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no","Professional, scientific, & technical services",1,total,C0502.02,1332
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Computer systems design,2,total,C0502.02,180
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Other professional scientific,2,total,C0502.02,1152
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Administrative & support services,1,total,C0502.02,663
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Education & training,1,total,C0502.02,261
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Health care & social assistance,1,total,C0502.02,606
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Arts & recreation services,1,total,C0502.02,183
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",Other services,1,total,C0502.02,474
"Non-managerial employees being able to use personal sick leave, unpaid leave or compassionate care leave to care for other people who are sick - no",total,0,total,C0502.02,15729
Non-managerial employees offered childcare (allowances or facilities) - yes,total,0,6–19 employees,C0503.01,3519
Non-managerial employees offered childcare (allowances or facilities) - yes,total,0,20–49 employees,C0503.01,732
Non-managerial employees offered childcare (allowances or facilities) - yes,total,0,50–99 employees,C0503.01,165
Non-managerial employees offered childcare (allowances or facilities) - yes,total,0,100+ employees,C0503.01,141
Non-managerial employees offered childcare (allowances or facilities) - yes,"Agriculture, forestry, & fishing",1,total,C0503.01,309
Non-managerial employees offered childcare (allowances or facilities) - yes,Agriculture,2,total,C0503.01,231
Non-managerial employees offered childcare (allowances or facilities) - yes,Commercial fishing,2,total,C0503.01,3
Non-managerial employees offered childcare (allowances or facilities) - yes,Forestry & logging,2,total,C0503.01,3
Non-managerial employees offered childcare (allowances or facilities) - yes,"Agriculture, forestry, & fishing support services",2,total,C0503.01,72
Non-managerial employees offered childcare (allowances or facilities) - yes,Mining,1,total,C0503.01,6
Non-managerial employees offered childcare (allowances or facilities) - yes,Manufacturing,1,total,C0503.01,390
Non-managerial employees offered childcare (allowances or facilities) - yes,"Food, beverage, & tobacco",2,total,C0503.01,117
Non-managerial employees offered childcare (allowances or facilities) - yes,"Textile, clothing, footwear, & leather",2,total,C0503.01,18
Non-managerial employees offered childcare (allowances or facilities) - yes,Wood & paper product,2,total,C0503.01,45
Non-managerial employees offered childcare (allowances or facilities) - yes,"Printing, publishing, & recorded media",2,total,C0503.01,12
Non-managerial employees offered childcare (allowances or facilities) - yes,"Petroleum, coal, chemical, & associated product",2,total,C0503.01,30
Non-managerial employees offered childcare (allowances or facilities) - yes,Non-metallic mineral product,2,total,C0503.01,12
Non-managerial employees offered childcare (allowances or facilities) - yes,Metal product,2,total,C0503.01,57
Non-managerial employees offered childcare (allowances or facilities) - yes,Transport and industrial machinery & equipment,2,total,C0503.01,42
Non-managerial employees offered childcare (allowances or facilities) - yes,Other machinery & equipment,2,total,C0503.01,27
Non-managerial employees offered childcare (allowances or facilities) - yes,Other manufacturing,2,total,C0503.01,27
Non-managerial employees offered childcare (allowances or facilities) - yes,"Electricity, gas, water, & waste services",1,total,C0503.01,24
Non-managerial employees offered childcare (allowances or facilities) - yes,Construction,1,total,C0503.01,588
Non-managerial employees offered childcare (allowances or facilities) - yes,Wholesale trade,1,total,C0503.01,204
Non-managerial employees offered childcare (allowances or facilities) - yes,Machinery & equipment wholesaling,2,total,C0503.01,45
Non-managerial employees offered childcare (allowances or facilities) - yes,Other wholesale trade,2,total,C0503.01,156
Non-managerial employees offered childcare (allowances or facilities) - yes,Retail trade,1,total,C0503.01,291
Non-managerial employees offered childcare (allowances or facilities) - yes,Accommodation & food services,1,total,C0503.01,789
Non-managerial employees offered childcare (allowances or facilities) - yes,"Transport, postal, & warehousing",1,total,C0503.01,78
Non-managerial employees offered childcare (allowances or facilities) - yes,Information media & telecommunications,1,total,C0503.01,36
Non-managerial employees offered childcare (allowances or facilities) - yes,Publishing,2,total,C0503.01,3
Non-managerial employees offered childcare (allowances or facilities) - yes,Motion picture,2,total,C0503.01,15
Non-managerial employees offered childcare (allowances or facilities) - yes,Telecommunications,2,total,C0503.01,15
Non-managerial employees offered childcare (allowances or facilities) - yes,Financial & insurance services,1,total,C0503.01,57
Non-managerial employees offered childcare (allowances or facilities) - yes,Finance,2,total,C0503.01,18
Non-managerial employees offered childcare (allowances or facilities) - yes,Insurance,2,total,C0503.01,3
Non-managerial employees offered childcare (allowances or facilities) - yes,Auxiliary,2,total,C0503.01,39
Non-managerial employees offered childcare (allowances or facilities) - yes,"Rental, hiring, & real estate services",1,total,C0503.01,48
Non-managerial employees offered childcare (allowances or facilities) - yes,"Professional, scientific, & technical services",1,total,C0503.01,297
Non-managerial employees offered childcare (allowances or facilities) - yes,Computer systems design,2,total,C0503.01,72
Non-managerial employees offered childcare (allowances or facilities) - yes,Other professional scientific,2,total,C0503.01,225
Non-managerial employees offered childcare (allowances or facilities) - yes,Administrative & support services,1,total,C0503.01,162
Non-managerial employees offered childcare (allowances or facilities) - yes,Education & training,1,total,C0503.01,339
Non-managerial employees offered childcare (allowances or facilities) - yes,Health care & social assistance,1,total,C0503.01,726
